,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
649,365,"6/29/20, 12:16 - AI Derek: Good afternoon house
",AI Derek,Good afternoon house,good afternoon house,29-06-2020 12.16,12,0
650,366,"6/29/20, 12:16 - AI Derek: It’s been a while
",AI Derek,It’s been a while,its been a while,29-06-2020 12.16,12,0
651,93,"6/29/20, 12:17 - Ḅj: Good afternoon Derek
",Ḅj,Good afternoon Derek,good afternoon derek,29-06-2020 12.17,12,0
652,369,"6/29/20, 12:17 - AI Derek: So we can discuss it today
",AI Derek,So we can discuss it today,so we can discuss it today,29-06-2020 12.17,12,0
653,368,"6/29/20, 12:17 - AI Derek: I wanted us to have a meeting yesterday but I couldn’t manage to pull through 🙆🏾‍♀️
",AI Derek,I wanted us to have a meeting yesterday but I couldn’t manage to pull through 🙆🏾‍♀️,i wanted us to have a meeting yesterday but i couldnt manage to pull through ,29-06-2020 12.17,12,0
654,94,"6/29/20, 12:17 - Ḅj: Yeah
",Ḅj,Yeah,yeah,29-06-2020 12.17,12,0
655,367,"6/29/20, 12:17 - AI Derek: Work and stress I know
",AI Derek,Work and stress I know,work and stress i know,29-06-2020 12.17,12,0
656,370,"6/29/20, 12:18 - AI Derek: I’ll put everything here so we all look at it
",AI Derek,I’ll put everything here so we all look at it,ill put everything here so we all look at it,29-06-2020 12.18,12,0
657,95,"6/29/20, 12:18 - Ḅj: Sure sure
",Ḅj,Sure sure,sure sure,29-06-2020 12.18,12,0
658,92,"6/29/20, 12:21 - Alex Notitia: Great. Am also super occupied with work. The little time that comes,  i would  use it to make changes necessary for the commencement.
",Alex Notitia,"Great. Am also super occupied with work. The little time that comes,  i would  use it to make changes necessary for the commencement.",great am also super occupied with work the little time that comes  i would  use it to make changes necessary for the commencement,29-06-2020 12.21,12,0
659,96,"6/29/20, 12:21 - Ḅj: Definitely
",Ḅj,Definitely,definitely,29-06-2020 12.21,12,0
660,97,"6/29/20, 12:21 - Ḅj: Best of luck with work
",Ḅj,Best of luck with work,best of luck with work,29-06-2020 12.21,12,0
661,98,"6/29/20, 12:22 - Ḅj: 😊
",Ḅj,😊,,29-06-2020 12.22,12,0
662,93,"6/29/20, 12:22 - Alex Notitia: Sure.
",Alex Notitia,Sure.,sure,29-06-2020 12.22,12,0
663,94,"6/29/20, 12:25 - Alex Notitia: Asem oh.
",Alex Notitia,Asem oh.,asem oh,29-06-2020 12.25,12,0
664,373,"6/29/20, 12:25 - AI Derek: This life is stressful
",AI Derek,This life is stressful,this life is stressful,29-06-2020 12.25,12,0
665,371,"6/29/20, 12:25 - AI Derek: I was supposed to send you something to update on the courses side
",AI Derek,I was supposed to send you something to update on the courses side,i was supposed to send you something to update on the courses side,29-06-2020 12.25,12,0
666,372,"6/29/20, 12:25 - AI Derek: I even forgot 😀
",AI Derek,I even forgot 😀,i even forgot ,29-06-2020 12.25,12,0
667,95,"6/29/20, 12:25 - Alex Notitia: 😊
",Alex Notitia,😊,,29-06-2020 12.25,12,0
668,99,"6/29/20, 15:44 - Ḅj: please when you are free you can send me your emails so i send you the special invites to the slack workspace
",Ḅj,please when you are free you can send me your emails so i send you the special invites to the slack workspace,please when you are free you can send me your emails so i send you the special invites to the slack workspace,29-06-2020 15.44,15,0
669,96,"6/29/20, 16:19 - Alex Notitia: Sure
",Alex Notitia,Sure,sure,29-06-2020 16.19,16,0
