,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
1158,548,"7/18/20, 09:22 - AI Derek: Good morning everyone
",AI Derek,Good morning everyone,good morning everyone,18-07-2020 9.22,9,5
1159,549,"7/18/20, 09:22 - AI Derek: Hope we good
",AI Derek,Hope we good,hope we good,18-07-2020 9.22,9,5
1160,550,"7/18/20, 09:23 - AI Derek: @233246521995 & @233504782862 were you able to send the mails
",AI Derek,@233246521995 & @233504782862 were you able to send the mails,   were you able to send the mails,18-07-2020 9.23,9,5
1161,551,"7/18/20, 09:23 - AI Derek: And have you got all the feedbacks
",AI Derek,And have you got all the feedbacks,and have you got all the feedbacks,18-07-2020 9.23,9,5
1162,243,"7/18/20, 09:24 - Ḅj: good morning Derek
",Ḅj,good morning Derek,good morning derek,18-07-2020 9.24,9,5
1163,244,"7/18/20, 09:24 - Ḅj: yes please
",Ḅj,yes please,yes please,18-07-2020 9.24,9,5
1164,245,"7/18/20, 09:25 - Ḅj: yeah we did
",Ḅj,yeah we did,yeah we did,18-07-2020 9.25,9,5
1165,246,"7/18/20, 09:25 - Ḅj: @233246521995
",Ḅj,@233246521995,,18-07-2020 9.25,9,5
1166,128,"7/18/20, 09:59 - Adwoa Notitia: Good morning
",Adwoa Notitia,Good morning,good morning,18-07-2020 9.59,9,5
1167,129,"7/18/20, 10:00 - Adwoa Notitia: Yes, i forwarded the portraits i got to @233554349393 yesterday
",Adwoa Notitia,"Yes, i forwarded the portraits i got to @233554349393 yesterday",yes i forwarded the portraits i got to  yesterday,18-07-2020 10.00,10,5
1168,552,"7/18/20, 10:31 - AI Derek: Great
",AI Derek,Great,great,18-07-2020 10.31,10,5
1169,554,"7/18/20, 10:32 - AI Derek: And add us so we can communicate with them
",AI Derek,And add us so we can communicate with them,and add us so we can communicate with them,18-07-2020 10.32,10,5
1170,553,"7/18/20, 10:32 - AI Derek: If all the 20 are ready we can create a group for them then
",AI Derek,If all the 20 are ready we can create a group for them then,if all the  are ready we can create a group for them then,18-07-2020 10.32,10,5
1171,116,"7/18/20, 11:05 - Norbert Notitia: Working on flier templates and Welcome templates as well
",Norbert Notitia,Working on flier templates and Welcome templates as well,working on flier templates and welcome templates as well,18-07-2020 11.05,11,5
1172,115,"7/18/20, 11:05 - Norbert Notitia: Sure👌🏽
",Norbert Notitia,Sure👌🏽,sure,18-07-2020 11.05,11,5
1173,247,"7/18/20, 11:08 - Ḅj: nicee
",Ḅj,nicee,nicee,18-07-2020 11.08,11,5
