,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
306,54,"6/3/20, 10:33 - Norbert Notitia: Hi Chief
",Norbert Notitia,Hi Chief,hi chief,03-06-2020 10.33,10,2
307,42,"6/3/20, 10:33 - Ḅj: Hello
",Ḅj,Hello,hello,03-06-2020 10.33,10,2
308,39,"6/3/20, 10:33 - Alex Notitia: Hello everyone.
",Alex Notitia,Hello everyone.,hello everyone,03-06-2020 10.33,10,2
309,3,"6/3/20, 10:33 - Adwoa Notitia: Thanks Norbert
",Adwoa Notitia,Thanks Norbert,thanks norbert,03-06-2020 10.33,10,2
310,4,"6/3/20, 10:34 - Adwoa Notitia: Hii
",Adwoa Notitia,Hii,hii,03-06-2020 10.34,10,2
311,40,"6/3/20, 10:37 - Alex Notitia: Kindly note that the website is available for testing purposes. The only feature am yet to fix is the avatar upload. Kindly ignore that feature for now. Kindly report any issues you encounter collectively on Monday.
",Alex Notitia,Kindly note that the website is available for testing purposes. The only feature am yet to fix is the avatar upload. Kindly ignore that feature for now. Kindly report any issues you encounter collectively on Monday.,kindly note that the website is available for testing purposes the only feature am yet to fix is the avatar upload kindly ignore that feature for now kindly report any issues you encounter collectively on monday,03-06-2020 10.37,10,2
312,183,"6/3/20, 10:37 - AI Derek: Send link
",AI Derek,Send link,send link,03-06-2020 10.37,10,2
313,55,"6/3/20, 10:38 - Norbert Notitia: Are the web mails ready
",Norbert Notitia,Are the web mails ready,are the web mails ready,03-06-2020 10.38,10,2
314,5,"6/3/20, 10:38 - Adwoa Notitia: Please any links?
",Adwoa Notitia,Please any links?,please any links,03-06-2020 10.38,10,2
315,41,"6/3/20, 10:39 - Alex Notitia: Yeah. You can use them. I posted everyone's own here some time ago.
",Alex Notitia,Yeah. You can use them. I posted everyone's own here some time ago.,yeah you can use them i posted everyones own here some time ago,03-06-2020 10.39,10,2
316,6,"6/3/20, 10:40 - Adwoa Notitia: Many thanks🙏🏾
",Adwoa Notitia,Many thanks🙏🏾,many thanks,03-06-2020 10.40,10,2
317,42,"6/3/20, 10:40 - Alex Notitia: This is the link to our site.  https://notitia.site
",Alex Notitia,This is the link to our site.  https://notitia.site,this is the link to our site  httpsnotitiasite,03-06-2020 10.40,10,2
318,43,"6/3/20, 10:41 - Alex Notitia: The webmails
",Alex Notitia,The webmails,the webmails,03-06-2020 10.41,10,2
319,44,"6/3/20, 10:42 - Alex Notitia: Am yet to create one for you. I would work on it. When it's ready, i would inform you.
",Alex Notitia,"Am yet to create one for you. I would work on it. When it's ready, i would inform you.",am yet to create one for you i would work on it when its ready i would inform you,03-06-2020 10.42,10,2
