,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
607,88,"6/17/20, 10:08 - Ḅj: Great
",Ḅj,Great,great,17-06-2020 10.08,10,2
608,343,"6/17/20, 10:35 - AI Derek: We can share
",AI Derek,We can share,we can share,17-06-2020 10.35,10,2
609,89,"6/17/20, 10:35 - Ḅj: Sure
",Ḅj,Sure,sure,17-06-2020 10.35,10,2
610,344,"6/17/20, 11:12 - AI Derek: @233247936396 please re work on the certificate so we can use it for this one too
",AI Derek,@233247936396 please re work on the certificate so we can use it for this one too, please re work on the certificate so we can use it for this one too,17-06-2020 11.12,11,2
611,16,"6/17/20, 18:34 - Sadat Notitia: Okay
",Sadat Notitia,Okay,okay,17-06-2020 18.34,18,2
