,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
601,339,"6/16/20, 12:14 - AI Derek: Thank you flyer ready ?
",AI Derek,Thank you flyer ready ?,thank you flyer ready ,16-06-2020 12.14,12,1
602,65,"6/16/20, 12:32 - Norbert Notitia: Almost
",Norbert Notitia,Almost,almost,16-06-2020 12.32,12,1
603,87,"6/16/20, 13:36 - Ḅj: ""thank you for making it successful""
",Ḅj,"""thank you for making it successful""",thank you for making it successful,16-06-2020 13.36,13,1
604,86,"6/16/20, 13:36 - Ḅj: I think you missed ""for""
",Ḅj,"I think you missed ""for""",i think you missed for,16-06-2020 13.36,13,1
605,341,"6/16/20, 13:38 - AI Derek: For is missing
",AI Derek,For is missing,for is missing,16-06-2020 13.38,13,1
606,340,"6/16/20, 13:38 - AI Derek: Yh
",AI Derek,Yh,yh,16-06-2020 13.38,13,1
