,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
579,46,"6/15/20, 08:18 - Adwoa Notitia: Ok
",Adwoa Notitia,Ok,ok,15-06-2020 8.18,8,0
580,85,"6/15/20, 10:50 - Alex Notitia: Good morning team.
",Alex Notitia,Good morning team.,good morning team,15-06-2020 10.50,10,0
581,86,"6/15/20, 10:55 - Alex Notitia: We're to organize it better before we can make it publicly available.
",Alex Notitia,We're to organize it better before we can make it publicly available.,were to organize it better before we can make it publicly available,15-06-2020 10.55,10,0
582,47,"6/15/20, 10:58 - Adwoa Notitia: 🙌🏾🙌🏾🙌🏾
",Adwoa Notitia,🙌🏾🙌🏾🙌🏾,,15-06-2020 10.58,10,0
583,334,"6/15/20, 11:04 - AI Derek: Sure
",AI Derek,Sure,sure,15-06-2020 11.04,11,0
584,335,"6/15/20, 16:46 - AI Derek: Hope we are ready
",AI Derek,Hope we are ready,hope we are ready,15-06-2020 16.46,16,0
585,336,"6/15/20, 16:46 - AI Derek: We starting in 10 minutes
",AI Derek,We starting in 10 minutes,we starting in  minutes,15-06-2020 16.46,16,0
586,48,"6/15/20, 16:46 - Adwoa Notitia: Yep🙌🏾🙌🏾
",Adwoa Notitia,Yep🙌🏾🙌🏾,yep,15-06-2020 16.46,16,0
587,49,"6/15/20, 16:46 - Adwoa Notitia: 👍🏾
",Adwoa Notitia,👍🏾,,15-06-2020 16.46,16,0
588,87,"6/15/20, 16:48 - Alex Notitia: 🔥🔥 🔥
",Alex Notitia,🔥🔥 🔥, ,15-06-2020 16.48,16,0
589,82,"6/15/20, 16:48 - Ḅj: 🔥
",Ḅj,🔥,,15-06-2020 16.48,16,0
590,88,"6/15/20, 17:04 - Alex Notitia: The background noises are a lot oh
",Alex Notitia,The background noises are a lot oh,the background noises are a lot oh,15-06-2020 17.04,17,0
591,89,"6/15/20, 17:41 - Alex Notitia: Lightsout.
",Alex Notitia,Lightsout.,lightsout,15-06-2020 17.41,17,0
592,83,"6/15/20, 17:42 - Ḅj: oww
",Ḅj,oww,oww,15-06-2020 17.42,17,0
593,50,"6/15/20, 17:42 - Adwoa Notitia: Derek
",Adwoa Notitia,Derek,derek,15-06-2020 17.42,17,0
594,51,"6/15/20, 17:48 - Adwoa Notitia: Please unmute me
",Adwoa Notitia,Please unmute me,please unmute me,15-06-2020 17.48,17,0
595,84,"6/15/20, 21:03 - Ḅj: awesome one guyss
",Ḅj,awesome one guyss,awesome one guyss,15-06-2020 21.03,21,0
596,90,"6/15/20, 21:04 - Alex Notitia: Everything went really well.
",Alex Notitia,Everything went really well.,everything went really well,15-06-2020 21.04,21,0
597,52,"6/15/20, 21:05 - Adwoa Notitia: Awesome 👏🏾 guys 🙌🏾🙌🏾🙌🏾
",Adwoa Notitia,Awesome 👏🏾 guys 🙌🏾🙌🏾🙌🏾,awesome  guys ,15-06-2020 21.05,21,0
598,337,"6/15/20, 21:38 - AI Derek: Well doe everyone
",AI Derek,Well doe everyone,well doe everyone,15-06-2020 21.38,21,0
599,85,"6/15/20, 21:40 - Ḅj: 🔥
",Ḅj,🔥,,15-06-2020 21.40,21,0
600,338,"6/15/20, 21:53 - AI Derek: I’m very exhausted
",AI Derek,I’m very exhausted,im very exhausted,15-06-2020 21.53,21,0
