,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
735,403,"7/5/20, 08:50 - AI Derek: Good morning everyone
",AI Derek,Good morning everyone,good morning everyone,05-07-2020 8.50,8,6
736,406,"7/5/20, 08:50 - AI Derek: The form is ready and we are good to go
",AI Derek,The form is ready and we are good to go,the form is ready and we are good to go,05-07-2020 8.50,8,6
737,404,"7/5/20, 08:50 - AI Derek: Hello Data scientists ,
",AI Derek,"Hello Data scientists ,",hello data scientists ,05-07-2020 8.50,8,6
738,405,"7/5/20, 08:50 - AI Derek: Read this
",AI Derek,Read this,read this,05-07-2020 8.50,8,6
739,67,"7/5/20, 08:58 - Norbert Notitia: Looks good
",Norbert Notitia,Looks good,looks good,05-07-2020 8.58,8,6
740,106,"7/5/20, 09:05 - Alex Notitia: Great stuffs.
",Alex Notitia,Great stuffs.,great stuffs,05-07-2020 9.05,9,6
741,407,"7/5/20, 09:23 - AI Derek: Sure
",AI Derek,Sure,sure,05-07-2020 9.23,9,6
742,68,"7/5/20, 09:24 - Norbert Notitia: Yeah sure
",Norbert Notitia,Yeah sure,yeah sure,05-07-2020 9.24,9,6
743,408,"7/5/20, 09:24 - AI Derek: So we can share this afternoon
",AI Derek,So we can share this afternoon,so we can share this afternoon,05-07-2020 9.24,9,6
744,409,"7/5/20, 09:24 - AI Derek: @233554349393 can you add any flyer to it ?
",AI Derek,@233554349393 can you add any flyer to it ?, can you add any flyer to it ,05-07-2020 9.24,9,6
745,410,"7/5/20, 09:25 - AI Derek: Sharp
",AI Derek,Sharp,sharp,05-07-2020 9.25,9,6
746,107,"7/5/20, 11:47 - Alex Notitia: @233504782862 Hello, can you generate a token for me.
",Alex Notitia,"@233504782862 Hello, can you generate a token for me.", hello can you generate a token for me,05-07-2020 11.47,11,6
747,124,"7/5/20, 11:48 - Ḅj: Okay. Give me a few minutes
",Ḅj,Okay. Give me a few minutes,okay give me a few minutes,05-07-2020 11.48,11,6
748,108,"7/5/20, 11:49 - Alex Notitia: Sure
",Alex Notitia,Sure,sure,05-07-2020 11.49,11,6
749,70,"7/5/20, 16:24 - Adwoa Notitia: Awesome 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾
",Adwoa Notitia,Awesome 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,awesome ,05-07-2020 16.24,16,6
750,125,"7/5/20, 19:59 - Ḅj: hello guys
",Ḅj,hello guys,hello guys,05-07-2020 19.59,19,6
751,127,"7/5/20, 20:00 - Ḅj: currently at 70
",Ḅj,currently at 70,currently at ,05-07-2020 20.00,20,6
752,126,"7/5/20, 20:00 - Ḅj: the form can take only the first 100 submissions
",Ḅj,the form can take only the first 100 submissions,the form can take only the first  submissions,05-07-2020 20.00,20,6
753,70,"7/5/20, 20:06 - Norbert Notitia: That's huge.
",Norbert Notitia,That's huge.,thats huge,05-07-2020 20.06,20,6
754,69,"7/5/20, 20:06 - Norbert Notitia: Wow
",Norbert Notitia,Wow,wow,05-07-2020 20.06,20,6
755,130,"7/5/20, 20:07 - Ḅj: responses increase anytime i refresh
",Ḅj,responses increase anytime i refresh,responses increase anytime i refresh,05-07-2020 20.07,20,6
