,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
547,308,"6/14/20, 07:42 - AI Derek: On Monday June 15th at exactly 5pm GMT, join us for  webinar to learn how this world-class Notitia virtual mentoring will future-proof your data science career.
",AI Derek,"On Monday June 15th at exactly 5pm GMT, join us for  webinar to learn how this world-class Notitia virtual mentoring will future-proof your data science career.",on monday june th at exactly pm gmt join us for  webinar to learn how this worldclass notitia virtual mentoring will futureproof your data science career,14-06-2020 7.42,7,6
548,81,"6/14/20, 16:04 - Ḅj: awesome
",Ḅj,awesome,awesome,14-06-2020 16.04,16,6
549,311,"6/14/20, 18:16 - AI Derek: We can share this now
",AI Derek,We can share this now,we can share this now,14-06-2020 18.16,18,6
550,42,"6/14/20, 18:25 - Adwoa Notitia: 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾
",Adwoa Notitia,🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,,14-06-2020 18.25,18,6
551,312,"6/14/20, 21:44 - AI Derek: Oh we couldn’t do our meeting today
",AI Derek,Oh we couldn’t do our meeting today,oh we couldnt do our meeting today,14-06-2020 21.44,21,6
552,314,"6/14/20, 21:44 - AI Derek: Up and down saaa
",AI Derek,Up and down saaa,up and down saaa,14-06-2020 21.44,21,6
553,313,"6/14/20, 21:44 - AI Derek: Forgive me o
",AI Derek,Forgive me o,forgive me o,14-06-2020 21.44,21,6
554,317,"6/14/20, 22:41 - AI Derek: And thank you all for the work we’ve done so far 
",AI Derek,And thank you all for the work we’ve done so far ,and thank you all for the work weve done so far ,14-06-2020 22.41,22,6
555,315,"6/14/20, 22:41 - AI Derek: @233246521995 are you able to finish all ?
",AI Derek,@233246521995 are you able to finish all ?, are you able to finish all ,14-06-2020 22.41,22,6
556,316,"6/14/20, 22:41 - AI Derek: Anyway our webinar is less than 24 hours ahead
",AI Derek,Anyway our webinar is less than 24 hours ahead,anyway our webinar is less than  hours ahead,14-06-2020 22.41,22,6
557,318,"6/14/20, 22:42 - AI Derek: Few things we need to put in place for Tomorrow however are these;
",AI Derek,Few things we need to put in place for Tomorrow however are these;,few things we need to put in place for tomorrow however are these,14-06-2020 22.42,22,6
558,319,"6/14/20, 22:42 - AI Derek: 1. @233247936396 please let’s get the Twitter active with tweets throughout the program. Before, during and after
",AI Derek,"1. @233247936396 please let’s get the Twitter active with tweets throughout the program. Before, during and after",  please lets get the twitter active with tweets throughout the program before during and after,14-06-2020 22.42,22,6
559,14,"6/14/20, 22:43 - Sadat Notitia: I will be available by then to handle it after my paper
",Sadat Notitia,I will be available by then to handle it after my paper,i will be available by then to handle it after my paper,14-06-2020 22.43,22,6
560,15,"6/14/20, 22:43 - Sadat Notitia: 👍🏼
",Sadat Notitia,👍🏼,,14-06-2020 22.43,22,6
561,320,"6/14/20, 22:43 - AI Derek: 2. @233246521995 as moderator need to be reminding the participants to follow our pages on Twitter and LinkedIn to follow what’s happening there
",AI Derek,2. @233246521995 as moderator need to be reminding the participants to follow our pages on Twitter and LinkedIn to follow what’s happening there,  as moderator need to be reminding the participants to follow our pages on twitter and linkedin to follow whats happening there,14-06-2020 22.43,22,6
562,321,"6/14/20, 22:44 - AI Derek: 3. @233554349393 we need a flyer to promote that Twitter buzzing tomorrow
",AI Derek,3. @233554349393 we need a flyer to promote that Twitter buzzing tomorrow,  we need a flyer to promote that twitter buzzing tomorrow,14-06-2020 22.44,22,6
563,44,"6/14/20, 22:44 - Adwoa Notitia: Ok
",Adwoa Notitia,Ok,ok,14-06-2020 22.44,22,6
564,322,"6/14/20, 22:44 - AI Derek: 4. @233554349393 should also be working on the thank you flyer for the webinar so we release at least an hour after the program
",AI Derek,4. @233554349393 should also be working on the thank you flyer for the webinar so we release at least an hour after the program,  should also be working on the thank you flyer for the webinar so we release at least an hour after the program,14-06-2020 22.44,22,6
565,43,"6/14/20, 22:44 - Adwoa Notitia: Will be done before 9am tomorrow Godwilling
",Adwoa Notitia,Will be done before 9am tomorrow Godwilling,will be done before am tomorrow godwilling,14-06-2020 22.44,22,6
566,323,"6/14/20, 22:46 - AI Derek: 5. @233246521995 per the proposed questions sent to you we didn’t have for Eddie from Ghana tech lab. So do find a question for him to answer before the general ones.
",AI Derek,5. @233246521995 per the proposed questions sent to you we didn’t have for Eddie from Ghana tech lab. So do find a question for him to answer before the general ones.,  per the proposed questions sent to you we didnt have for eddie from ghana tech lab so do find a question for him to answer before the general ones,14-06-2020 22.46,22,6
567,324,"6/14/20, 22:46 - AI Derek: Sure
",AI Derek,Sure,sure,14-06-2020 22.46,22,6
568,325,"6/14/20, 22:46 - AI Derek: Great
",AI Derek,Great,great,14-06-2020 22.46,22,6
569,327,"6/14/20, 22:49 - AI Derek: And that’s how we gonna end it
",AI Derek,And that’s how we gonna end it,and thats how we gonna end it,14-06-2020 22.49,22,6
570,326,"6/14/20, 22:49 - AI Derek: 6. @233246521995 the official time for the webinar to begin is 5pm. However the meeting room will be made open from 4pm.
",AI Derek,6. @233246521995 the official time for the webinar to begin is 5pm. However the meeting room will be made open from 4pm.,  the official time for the webinar to begin is pm however the meeting room will be made open from pm,14-06-2020 22.49,22,6
571,328,"6/14/20, 22:49 - AI Derek: Make sure as a moderator we get all things in place
",AI Derek,Make sure as a moderator we get all things in place,make sure as a moderator we get all things in place,14-06-2020 22.49,22,6
572,64,"6/14/20, 22:50 - Norbert Notitia: Sharp
",Norbert Notitia,Sharp,sharp,14-06-2020 22.50,22,6
573,330,"6/14/20, 22:50 - AI Derek: You can check their profiles on LinkedIn to use it in introducing them as well
",AI Derek,You can check their profiles on LinkedIn to use it in introducing them as well,you can check their profiles on linkedin to use it in introducing them as well,14-06-2020 22.50,22,6
574,329,"6/14/20, 22:50 - AI Derek: I’ll be prompting you when a speaker is available to speak
",AI Derek,I’ll be prompting you when a speaker is available to speak,ill be prompting you when a speaker is available to speak,14-06-2020 22.50,22,6
575,331,"6/14/20, 22:51 - AI Derek: 7. This webinar need to be recorded from beginning to end.
",AI Derek,7. This webinar need to be recorded from beginning to end., this webinar need to be recorded from beginning to end,14-06-2020 22.51,22,6
576,45,"6/14/20, 22:52 - Adwoa Notitia: Ok🙏🏾
",Adwoa Notitia,Ok🙏🏾,ok,14-06-2020 22.52,22,6
577,332,"6/14/20, 22:56 - AI Derek: 8. Also after tomorrow’s webinar our next thing is to start a CALL FOR MENTORS application 
",AI Derek,8. Also after tomorrow’s webinar our next thing is to start a CALL FOR MENTORS application , also after tomorrows webinar our next thing is to start a call for mentors application ,14-06-2020 22.56,22,6
578,333,"6/14/20, 22:59 - AI Derek: 9. The general application for people to be mentored will not be cohort based.
",AI Derek,9. The general application for people to be mentored will not be cohort based., the general application for people to be mentored will not be cohort based,14-06-2020 22.59,22,6
