,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
437,244,"6/8/20, 09:31 - AI Derek: Good morning everyone
",AI Derek,Good morning everyone,good morning everyone,08-06-2020 9.31,9,0
438,245,"6/8/20, 09:31 - AI Derek: hope we good
",AI Derek,hope we good,hope we good,08-06-2020 9.31,9,0
439,246,"6/8/20, 09:32 - AI Derek: sent some couple of certificates out already and I’m glad about the feedbacks
",AI Derek,sent some couple of certificates out already and I’m glad about the feedbacks,sent some couple of certificates out already and im glad about the feedbacks,08-06-2020 9.32,9,0
440,247,"6/8/20, 09:32 - AI Derek: its great
",AI Derek,its great,its great,08-06-2020 9.32,9,0
441,248,"6/8/20, 09:32 - AI Derek: People expect a lot from Notitia
",AI Derek,People expect a lot from Notitia,people expect a lot from notitia,08-06-2020 9.32,9,0
442,249,"6/8/20, 09:32 - AI Derek: so Jerry and Adwoa i hope you’re working on yours too
",AI Derek,so Jerry and Adwoa i hope you’re working on yours too,so jerry and adwoa i hope youre working on yours too,08-06-2020 9.32,9,0
443,61,"6/8/20, 09:32 - Ḅj: I'm fine thanks
",Ḅj,I'm fine thanks,im fine thanks,08-06-2020 9.32,9,0
444,60,"6/8/20, 09:32 - Ḅj: Good morning
",Ḅj,Good morning,good morning,08-06-2020 9.32,9,0
445,62,"6/8/20, 09:33 - Ḅj: Me too
",Ḅj,Me too,me too,08-06-2020 9.33,9,0
446,253,"6/8/20, 09:33 - AI Derek: by grace chaley
",AI Derek,by grace chaley,by grace chaley,08-06-2020 9.33,9,0
447,64,"6/8/20, 09:33 - Ḅj: Great
",Ḅj,Great,great,08-06-2020 9.33,9,0
448,252,"6/8/20, 09:33 - AI Derek: That’s great
",AI Derek,That’s great,thats great,08-06-2020 9.33,9,0
449,251,"6/8/20, 09:33 - AI Derek: oh wow
",AI Derek,oh wow,oh wow,08-06-2020 9.33,9,0
450,250,"6/8/20, 09:33 - AI Derek: we are going to release flyers for the speakers for the webinar from today
",AI Derek,we are going to release flyers for the speakers for the webinar from today,we are going to release flyers for the speakers for the webinar from today,08-06-2020 9.33,9,0
451,63,"6/8/20, 09:33 - Ḅj: I finished before sleeping
",Ḅj,I finished before sleeping,i finished before sleeping,08-06-2020 9.33,9,0
452,65,"6/8/20, 09:34 - Ḅj: Good to know
",Ḅj,Good to know,good to know,08-06-2020 9.34,9,0
453,254,"6/8/20, 09:34 - AI Derek: sure
",AI Derek,sure,sure,08-06-2020 9.34,9,0
454,66,"6/8/20, 09:36 - Ḅj: Yeah
",Ḅj,Yeah,yeah,08-06-2020 9.36,9,0
455,28,"6/8/20, 10:35 - Adwoa Notitia: Awesome
",Adwoa Notitia,Awesome,awesome,08-06-2020 10.35,10,0
456,29,"6/8/20, 10:35 - Adwoa Notitia: Will be done before the close of the day too🙌🏾
",Adwoa Notitia,Will be done before the close of the day too🙌🏾,will be done before the close of the day too,08-06-2020 10.35,10,0
457,67,"6/8/20, 10:35 - Ḅj: Great
",Ḅj,Great,great,08-06-2020 10.35,10,0
458,68,"6/8/20, 10:36 - Ḅj: @233243319300 can we compile the list of emails and send them a general, gender-neutral mail concerning the upcoming event?
",Ḅj,"@233243319300 can we compile the list of emails and send them a general, gender-neutral mail concerning the upcoming event?", can we compile the list of emails and send them a general genderneutral mail concerning the upcoming event,08-06-2020 10.36,10,0
459,255,"6/8/20, 11:06 - AI Derek: Sure
",AI Derek,Sure,sure,08-06-2020 11.06,11,0
460,256,"6/8/20, 11:07 - AI Derek: Nice one
",AI Derek,Nice one,nice one,08-06-2020 11.07,11,0
461,258,"6/8/20, 18:12 - AI Derek: We can share this now
",AI Derek,We can share this now,we can share this now,08-06-2020 18.12,18,0
462,64,"6/8/20, 18:31 - Alex Notitia: Great.
",Alex Notitia,Great.,great,08-06-2020 18.31,18,0
