,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
625,354,"6/21/20, 18:25 - AI Derek: https://www.youtube.com/watch?v=NvaXLIC-7yU
",AI Derek,https://www.youtube.com/watch?v=NvaXLIC-7yU,httpswwwyoutubecomwatchvnvaxlicyu,21-06-2020 18.25,18,6
626,355,"6/21/20, 18:26 - AI Derek: lets check it out
",AI Derek,lets check it out,lets check it out,21-06-2020 18.26,18,6
627,91,"6/21/20, 18:45 - Ḅj: Great job
",Ḅj,Great job,great job,21-06-2020 18.45,18,6
628,90,"6/21/20, 18:45 - Ḅj: It's very good
",Ḅj,It's very good,its very good,21-06-2020 18.45,18,6
629,358,"6/21/20, 19:46 - AI Derek: but please subscribe too
",AI Derek,but please subscribe too,but please subscribe too,21-06-2020 19.46,19,6
630,357,"6/21/20, 19:46 - AI Derek: so we can share from tomorrow
",AI Derek,so we can share from tomorrow,so we can share from tomorrow,21-06-2020 19.46,19,6
631,356,"6/21/20, 19:46 - AI Derek: sure
",AI Derek,sure,sure,21-06-2020 19.46,19,6
632,92,"6/21/20, 19:51 - Ḅj: I have
",Ḅj,I have,i have,21-06-2020 19.51,19,6
633,57,"6/21/20, 19:52 - Adwoa Notitia: Done ✅
",Adwoa Notitia,Done ✅,done ,21-06-2020 19.52,19,6
634,58,"6/21/20, 19:52 - Adwoa Notitia: But why does the account have a different logo? Or its fine like that?
",Adwoa Notitia,But why does the account have a different logo? Or its fine like that?,but why does the account have a different logo or its fine like that,21-06-2020 19.52,19,6
635,359,"6/21/20, 19:52 - AI Derek: Sure
",AI Derek,Sure,sure,21-06-2020 19.52,19,6
636,360,"6/21/20, 19:53 - AI Derek: We will change the logo
",AI Derek,We will change the logo,we will change the logo,21-06-2020 19.53,19,6
637,59,"6/21/20, 19:53 - Adwoa Notitia: Ok
",Adwoa Notitia,Ok,ok,21-06-2020 19.53,19,6
638,60,"6/21/20, 19:53 - Adwoa Notitia: 👍🏾
",Adwoa Notitia,👍🏾,,21-06-2020 19.53,19,6
