,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
463,263,"6/9/20, 18:03 - AI Derek: Our webinar is getting closer
",AI Derek,Our webinar is getting closer,our webinar is getting closer,09-06-2020 18.03,18,1
464,262,"6/9/20, 18:03 - AI Derek: Good evening
",AI Derek,Good evening,good evening,09-06-2020 18.03,18,1
465,264,"6/9/20, 18:03 - AI Derek: And I can see the momentum already
",AI Derek,And I can see the momentum already,and i can see the momentum already,09-06-2020 18.03,18,1
466,267,"6/9/20, 18:04 - AI Derek: And this is the proposed questions for the panel
",AI Derek,And this is the proposed questions for the panel,and this is the proposed questions for the panel,09-06-2020 18.04,18,1
467,266,"6/9/20, 18:04 - AI Derek: Do we all agree ?
",AI Derek,Do we all agree ?,do we all agree ,09-06-2020 18.04,18,1
468,265,"6/9/20, 18:04 - AI Derek: @233246521995 will Moderate the panel discussion on the webinar
",AI Derek,@233246521995 will Moderate the panel discussion on the webinar, will moderate the panel discussion on the webinar,09-06-2020 18.04,18,1
469,69,"6/9/20, 19:24 - Ḅj: Yes please
",Ḅj,Yes please,yes please,09-06-2020 19.24,19,1
