,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
424,63,"6/7/20, 20:02 - Alex Notitia: Good evening team.
",Alex Notitia,Good evening team.,good evening team,07-06-2020 20.02,20,6
425,26,"6/7/20, 20:03 - Adwoa Notitia: Ok thanks
",Adwoa Notitia,Ok thanks,ok thanks,07-06-2020 20.03,20,6
426,55,"6/7/20, 20:03 - Ḅj: Awesome
",Ḅj,Awesome,awesome,07-06-2020 20.03,20,6
427,239,"6/7/20, 20:09 - AI Derek: ive sent the mail
",AI Derek,ive sent the mail,ive sent the mail,07-06-2020 20.09,20,6
428,240,"6/7/20, 20:09 - AI Derek: adwoa I’m sending yours
",AI Derek,adwoa I’m sending yours,adwoa im sending yours,07-06-2020 20.09,20,6
429,56,"6/7/20, 20:09 - Ḅj: Okay
",Ḅj,Okay,okay,07-06-2020 20.09,20,6
430,27,"6/7/20, 20:10 - Adwoa Notitia: Ok
",Adwoa Notitia,Ok,ok,07-06-2020 20.10,20,6
431,57,"6/7/20, 20:15 - Ḅj: Derek you didn't send the sample certificate just  the data
",Ḅj,Derek you didn't send the sample certificate just  the data,derek you didnt send the sample certificate just  the data,07-06-2020 20.15,20,6
432,242,"6/7/20, 20:17 - AI Derek: lemme send asap
",AI Derek,lemme send asap,lemme send asap,07-06-2020 20.17,20,6
433,243,"6/7/20, 20:17 - AI Derek: thanks
",AI Derek,thanks,thanks,07-06-2020 20.17,20,6
434,241,"6/7/20, 20:17 - AI Derek: sorry
",AI Derek,sorry,sorry,07-06-2020 20.17,20,6
435,58,"6/7/20, 20:17 - Ḅj: sure
",Ḅj,sure,sure,07-06-2020 20.17,20,6
436,59,"6/7/20, 20:17 - Ḅj: psd file right
",Ḅj,psd file right,psd file right,07-06-2020 20.17,20,6
