,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
543,302,"6/13/20, 07:51 - AI Derek: This message was deleted
",AI Derek,This message was deleted,this message was deleted,13-06-2020 7.51,7,5
544,304,"6/13/20, 07:52 - AI Derek: On Monday June 15th , join us for a complimentary webinar to learn how this world-class Notitia virtual mentoring will future-proof your Data science career.
",AI Derek,"On Monday June 15th , join us for a complimentary webinar to learn how this world-class Notitia virtual mentoring will future-proof your Data science career.",on monday june th  join us for a complimentary webinar to learn how this worldclass notitia virtual mentoring will futureproof your data science career,13-06-2020 7.52,7,5
545,305,"6/13/20, 07:52 - AI Derek: Good morning
",AI Derek,Good morning,good morning,13-06-2020 7.52,7,5
546,306,"6/13/20, 07:53 - AI Derek: And we can share this
",AI Derek,And we can share this,and we can share this,13-06-2020 7.53,7,5
