,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
791,421,"7/6/20, 13:50 - AI Derek: Can you add the google form
",AI Derek,Can you add the google form,can you add the google form,06-07-2020 13.50,13,0
792,140,"7/6/20, 13:51 - Ḅj: Last I checked we were around 85
",Ḅj,Last I checked we were around 85,last i checked we were around ,06-07-2020 13.51,13,0
793,422,"7/6/20, 13:51 - AI Derek: How many have you received so far
",AI Derek,How many have you received so far,how many have you received so far,06-07-2020 13.51,13,0
794,141,"7/6/20, 13:53 - Ḅj: I'm not at home now, I've been sent
",Ḅj,"I'm not at home now, I've been sent",im not at home now ive been sent,06-07-2020 13.53,13,0
795,423,"7/6/20, 13:53 - AI Derek: Okay
",AI Derek,Okay,okay,06-07-2020 13.53,13,0
796,424,"7/6/20, 13:53 - AI Derek: Sure
",AI Derek,Sure,sure,06-07-2020 13.53,13,0
