,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
797,142,"7/7/20, 21:25 - Ḅj: hey guys
",Ḅj,hey guys,hey guys,07-07-2020 21.25,21,1
798,143,"7/7/20, 21:25 - Ḅj: we've reached our limit
",Ḅj,we've reached our limit,weve reached our limit,07-07-2020 21.25,21,1
799,425,"7/7/20, 21:30 - AI Derek: Oh okay
",AI Derek,Oh okay,oh okay,07-07-2020 21.30,21,1
800,145,"7/7/20, 21:31 - Ḅj: then we'll have to share that link
",Ḅj,then we'll have to share that link,then well have to share that link,07-07-2020 21.31,21,1
801,426,"7/7/20, 21:31 - AI Derek: Let’s add the google form then
",AI Derek,Let’s add the google form then,lets add the google form then,07-07-2020 21.31,21,1
802,109,"7/7/20, 21:48 - Alex Notitia: Wow.
",Alex Notitia,Wow.,wow,07-07-2020 21.48,21,1
803,110,"7/7/20, 21:49 - Alex Notitia: This message was deleted
",Alex Notitia,This message was deleted,this message was deleted,07-07-2020 21.49,21,1
804,111,"7/7/20, 21:50 - Alex Notitia: I've also received some applications from the site.
",Alex Notitia,I've also received some applications from the site.,ive also received some applications from the site,07-07-2020 21.50,21,1
805,427,"7/7/20, 22:03 - AI Derek: Okay
",AI Derek,Okay,okay,07-07-2020 22.03,22,1
806,146,"7/7/20, 22:04 - Ḅj: great
",Ḅj,great,great,07-07-2020 22.04,22,1
807,112,"7/7/20, 22:04 - Alex Notitia: Cv builder dropping tomorrow.
",Alex Notitia,Cv builder dropping tomorrow.,cv builder dropping tomorrow,07-07-2020 22.04,22,1
